"item_id",cost,"retail_map","msrp"
"ADG31006",64.9500,"n/a","n/a"
"ADG31036",23.9763,"n/a","n/a"
"ADG31066",39.6129,"n/a","n/a"
"ALG12151",6.3750,"10.95","10.95"
"ALG12153",17.6250,"n/a","24.95"
"ALG12154",17.6250,"n/a","29.95"
"ALG45785",6.5000,"10.95","10.95"
"ALN10252",30.5529,"n/a","n/a"
"ALN10253",30.5529,"n/a","n/a"
"ALN10254",30.5529,"n/a","n/a"
"ALN10255",30.5529,"n/a","n/a"
"ALN10262",34.0946,"n/a","n/a"
"ALN10263",34.0946,"n/a","n/a"
"ALN10264",34.0946,"n/a","n/a"
"ALN10284",14.1077,"n/a","n/a"
"ALN10287",19.3966,"n/a","n/a"
"ALN10511",6.6702,"n/a","n/a"
"ALN10512",3.6361,"n/a","n/a"
"ALN10514",2.9514,"n/a","n/a"
"ALN10516",6.3160,"n/a","n/a"
"ALN10517",3.6361,"n/a","n/a"
"ALN1063",19.9500,"n/a","n/a"
"ALN1064",19.9500,"n/a","n/a"
"ALN1065",19.9500,"n/a","n/a"
"ALN1066",19.9500,"n/a","n/a"
"ALN1068",35.4168,"n/a","n/a"
"ALN10265",34.0946,"n/a","n/a"
"ALN10305",23.5522,"n/a","n/a"
"ALN10310",25.0279,"n/a","n/a"
"ALN1061",34.8265,"n/a","n/a"
"ALN107",8.2049,"n/a","n/a"
"ALN1072",89.1205,"n/a","n/a"
"ALN1075",94.3977,"n/a","n/a"
"ALN1076",94.0081,"n/a","n/a"
"ALN1078",27.3536,"n/a","n/a"
"ALN1079",74.6351,"n/a","n/a"
"ALN112",52.3815,"n/a","n/a"
"ALN1152",11.7466,"n/a","n/a"
"ALN11710",47.1634,"n/a","n/a"
"ALN11711",47.1634,"n/a","n/a"
"ALN11712",47.1634,"n/a","n/a"
"ALN11713",47.1634,"n/a","n/a"
"ALN11717",47.1634,"n/a","n/a"
"ALN11718",47.1634,"n/a","n/a"
"ALN11719",47.1634,"n/a","n/a"
"ALN11760",30.6356,"n/a","n/a"
"ALN11761",30.6356,"n/a","n/a"
"ALN11762",30.6356,"n/a","n/a"
"ALN11763",30.6356,"n/a","n/a"
"ALN11767",30.6356,"n/a","n/a"
"ALN11768",30.6356,"n/a","n/a"
"ALN11769",30.6356,"n/a","n/a"
"ALN11810",58.9690,"n/a","n/a"
"ALN11811",58.9690,"n/a","n/a"
"ALN11812",58.9690,"n/a","n/a"
"ALN11813",58.9690,"n/a","n/a"
"ALN11817",58.9690,"n/a","n/a"
"ALN11818",58.9690,"n/a","n/a"
"ALN11819",58.9690,"n/a","n/a"
"ALN11860",45.9829,"n/a","n/a"
"ALN1089",34.2009,"n/a","n/a"
"ALN1149",12.3369,"n/a","n/a"
"ALN11961",8.2167,"n/a","n/a"
"ALN11967",8.2167,"n/a","n/a"
"ALN122",58.2253,"n/a","n/a"
"ALN123",58.2253,"n/a","n/a"
"ALN124",58.2253,"n/a","n/a"
"ALN125",58.2253,"n/a","n/a"
"ALN1282",20.0105,"n/a","n/a"
"ALN12820",100.2887,"n/a","n/a"
"ALN12821",100.2887,"n/a","n/a"
"ALN12822",100.2887,"n/a","n/a"
"ALN12823",100.2887,"n/a","n/a"
"ALN12827",100.2887,"n/a","n/a"
"ALN12828",100.2887,"n/a","n/a"
"ALN12829",100.2887,"n/a","n/a"
"ALN12830",106.1915,"n/a","n/a"
"ALN12831",106.1915,"n/a","n/a"
"ALN12832",106.1915,"n/a","n/a"
"ALN12833",106.1915,"n/a","n/a"
"ALN12837",106.1915,"n/a","n/a"
"ALN12838",106.1915,"n/a","n/a"
"ALN12839",106.1915,"n/a","n/a"
"ALN12840",123.8999,"n/a","n/a"
"ALN12841",123.8999,"n/a","n/a"
"ALN12842",123.8999,"n/a","n/a"
"ALN12843",123.8999,"n/a","n/a"
"ALN12848",123.8999,"n/a","n/a"
"ALN12849",123.8999,"n/a","n/a"
"ALN12850",94.3859,"n/a","n/a"
"ALN12851",94.3859,"n/a","n/a"
"ALN12852",94.3859,"n/a","n/a"
"ALN12853",94.3859,"n/a","n/a"
"ALN12857",94.3859,"n/a","n/a"
"ALN12858",94.3859,"n/a","n/a"
"ALN12859",94.3859,"n/a","n/a"
"ALN12861",53.0662,"n/a","n/a"
"ALN12862",53.0662,"n/a","n/a"
"ALN12863",53.0662,"n/a","n/a"
"ALN12864",53.0662,"n/a","n/a"
"ALN12865",53.0662,"n/a","n/a"
"ALN12867",64.8718,"n/a","n/a"
"ALN12868",64.8718,"n/a","n/a"
"ALN12869",64.8718,"n/a","n/a"
"ALN130",6.4931,"n/a","n/a"
"ALN131",5.1827,"n/a","n/a"
"ALN13105",5.6549,"n/a","n/a"
"ALN11861",45.9829,"n/a","n/a"
"ALN11862",45.9829,"n/a","n/a"
"ALN11863",45.9829,"n/a","n/a"
"ALN11867",45.9829,"n/a","n/a"
"ALN11868",45.9829,"n/a","n/a"
"ALN11869",45.9829,"n/a","n/a"
"ALN11881",47.1634,"n/a","n/a"
"ALN11882",47.1634,"n/a","n/a"
"ALN11883",47.1634,"n/a","n/a"
"ALN11884",47.1634,"n/a","n/a"
"ALN13114",2.7153,"n/a","n/a"
"BERTS1072380100XXL",17.5532,"n/a","33.00"
"BERTS1072380100XXXL",17.5532,"n/a","33.00"
"BERTS1072380319L",15.4255,"n/a","29.00"
"BERTS1072380319M",15.4255,"n/a","29.00"
"BERTS1072380319S",15.4255,"n/a","29.00"
"BERTS1072380319XL",15.4255,"n/a","29.00"
"BERTS1072380319XXL",17.5532,"n/a","33.00"
"BERTS1072380319XXXL",17.5532,"n/a","33.00"
"BERTS5170850127L",10.6383,"n/a","20.00"
"BERTS5170850127M",10.6383,"n/a","20.00"
"BERTS5170850127S",10.6383,"n/a","20.00"
"BERTS5170850127XL",10.6383,"n/a","20.00"
"BERTS5170850127XXL",12.2340,"n/a","23.00"
"BERTS5170850127XXXL",12.2340,"n/a","23.00"
"BERTS517085074AL",10.6383,"n/a","20.00"
"BERTS517085074AM",10.6383,"n/a","20.00"
"BERTS517085074AS",10.6383,"n/a","20.00"
"BERTS517085074AXL",10.6383,"n/a","20.00"
"BERTS517085074AXXL",12.2340,"n/a","23.00"
"BERTS517085074AXXXL",12.2340,"n/a","23.00"
"BERTS5270850127L",10.6383,"n/a","20.00"
"BERTS5270850127M",10.6383,"n/a","20.00"
"BERTS5270850127S",10.6383,"n/a","20.00"
"BERTS5270850127XL",10.6383,"n/a","20.00"
"BERTS5270850127XXL",12.2340,"n/a","23.00"
"BERTS5270850127XXXL",12.2340,"n/a","23.00"
"BERTS527085074AL",10.6383,"n/a","20.00"
"BERTS527085074AM",10.6383,"n/a","20.00"
"BERTS527085074AS",10.6383,"n/a","20.00"
"BERTS527085074AXL",10.6383,"n/a","20.00"
"BERTS527085074AXXL",12.2340,"n/a","23.00"
"BERTS527085074AXXXL",12.2340,"n/a","23.00"
"BERTS547085074AL",10.6383,"n/a","20.00"
"BERTS547085074AM",10.6383,"n/a","20.00"
"BERTS547085074AS",10.6383,"n/a","20.00"
"BERTS547085074AXL",10.6383,"n/a","20.00"
"BERTS547085074AXXL",12.2340,"n/a","23.00"
"BERTS547085074AXXXL",12.2340,"n/a","23.00"
"BERTS5470850815L",10.6383,"n/a","20.00"
"BERTS5470850815M",10.6383,"n/a","20.00"
"BERTS5470850815S",10.6383,"n/a","20.00"
"BERTS5470850815XL",10.6383,"n/a","20.00"
"BERTS5470850815XXL",12.2340,"n/a","23.00"
