"item_id"	"manufacturer_item_id"	"upc_or_ean_id"	"manufacturer"	"product_name"	"short_description"	"extended_description"	images	weight	length	width	height	categories	"retail_map"	"msrp"	"stock_status"
"TEX66818"	"66818"	"049794668188"	"Texsport"	"LANTERN - LED EXCHANGE"	"LANTERN - LED EXCHANGE"	"LANTERN - LED EXCHANGE"	TEX66818.jpg	.9183	.0000	.0000	.0000	CAMPING	"n/a"	"n/a"	"N"
"TEX66819"	"66819"	"049794668195"	"Texsport"	"LANTERN - LED SIDEKIK"	"LANTERN - LED SIDEKIK"	"LANTERN - LED SIDEKIK"	TEX66819.jpg	.0000	.0000	.0000	.0000	CAMPING	"n/a"	"n/a"	"N"
"TEX66820"	"66820"	"049794668201"	"Texsport"	"LANTERN - LED X-SIGHT"	"LANTERN - LED X-SIGHT"	"LANTERN - LED X-SIGHT"	TEX66820.jpg	1.6533	.0000	.0000	.0000	CAMPING	"n/a"	"n/a"	"N"
"ADG31006"	"31006"	"820451310066"	"ADG Sports"	"ALUMA-FRAMED SGL RFL 47.5X8.5X3.5IN"	"ALUMA-FRAMED SGL RFL 47.5X8.5X3.5IN"	"Aluminum Single Rifle Case: Extruded PVC exterior panels - Key lockable latches - Double layer, high-density foam - Interior dimensions: 47.75" x 8.75" x 3.25" - Exterior dimensions: 48" x 9.25" x 4.5""	ADG31006.jpg	.0000	.0000	.0000	.0000	CASE GUN	"n/a"	"n/a"	"S"
"ADG31036"	"31036"	"820451310363"	"ADG Sports"	"ALUMA-FRAMED 2 PSTL CASE 12X8.5X4IN"	"ALUMA-FRAMED 2 PSTL CASE 12X8.5X4IN"	"Aluminum Two Pistol Case: Aluminum frame - Extruded PVC exterior panels - Key lockable latches - Double layer, high-density foam interior - Comfortable pivoting handle - Interior dimensions: 12" x 8.5" x 4" - Exterior dimensions: 12.75" x 9" x 4.5""	ADG31036.jpg	.0000	.0000	.0000	.0000	CASE GUN	"n/a"	"n/a"	"S"
"ADG31066"	"31066"	"820451310660"	"ADG Sports"	"ALUMA-FRAMED 4 PSTL CASE 17.5X13X4IN"	"ALUMA-FRAMED 4 PSTL CASE 17.5X13X4IN"	"Aluminum Four Pistol case: Aluminum frame - Extruded PVC exterior panels - Key lockable latches - Double layer, high-density foam interior - Comfortable pivoting handle - Interior dimensions: 17.5" x 13" x 4" - Exterior dimensions: 18" x 13.5" x 4.25""	ADG31066.jpg	.0000	.0000	.0000	.0000	CASE GUN	"n/a"	"n/a"	"S"
"AIR611156059XL"	"611156059XL"	"793676036571"	"Airsoft"	"AFTERMATH SOCOM TAC GLOVES - SIZE XL"	"AFTERMATH SOCOM TAC GLOVES - SIZE XL"	"Socom Tac Gloves: Sport Gear - Size: XL"	AIR611156059XL.jpg	.0000	.0000	.0000	.0000	AIRACC	"n/a"	"30.05"	"N"
"AIR611161254"	"611161254"	"793676019024"	"Airsoft"	"TYPHON AIR PISTOL CO2 - FULL METAL"	"TYPHON AIR PISTOL CO2 - FULL METAL"	"Typhon C02 Blowback Air Pistol: Full and Semi-Auto mode - 6mm - 450 FPS - 35 rounds - Blowback mechanism - Textured handle provides ultimate grip: "	AIR611161254.jpg	3.0358	.0000	.0000	.0000	AIRACC	"n/a"	"139.95"	"S"
"AIR611163154"	"611163154"	"793676028668"	"Airsoft"	"STUNT 1911 PISTOL W/DVD"	"STUNT 1911 PISTOL W/DVD"	"Stunt 1911 CO2 Semi Automatic Pistol with Action DVD: CO2 Semi-Automatic Action - 6mm - Velocity" 340 FPS - 14 Rounds - Fast clip allowing for quick reloads - Capacity of 100 shots and is quickly replaceable in the handle - Includes DVD"	AIR611163154.jpg	1.6250	.0000	.0000	.0000	AIRACC	"n/a"	"39.95"	"N"
"AIR611166454"	"611166454"	"793676033600"	"Airsoft"	"STUNT STUDIOS POLICE M4 DUAL POWER"	"STUNT STUDIOS POLICE M4 DUAL POWER"	"Stunt Police M4 Dual Power Airsoft Rifle: 850 rds. Grenade loader - Full and Semi Auto - 6mm - Velocity: 340 FPS - 300 rd high capacity magazine - Adjustable sights - Retractable handle - Dual Power Solution - Pump action feature - Shoots 420 rds per min"	AIR611166454.jpg	.0000	31.1000	10.6500	12.6000	AIRACC	"n/a"	"104.95"	"S"
