"item_id",qty_available,"stock_status","active_status"
"ATIBIP0700",0,"N","Y"
"ATIMSM1700",0,"N","Y"
"ATIRUG3000",3,"S","Y"
"ATISKS0550",12,"S","Y"
"ATISKS0700",33,"S","Y"
"ATISKS0800",0,"N","Y"
"ATISKS0802",0,"N","Y"
"AZM11401",0,"N","Y"
"AZM11405",0,"N","Y"
"AZM11406",0,"N","Y"
"AZM12211",86,"S","Y"
"AZM12212",8,"S","Y"
"AZM12213",29,"S","Y"
"AZM12214",8,"S","Y"
"AZM12229",0,"S","Y"
"AZM12230",0,"N","Y"
"AZM12231",8,"S","Y"
"AZM12232",0,"N","Y"
"AZM12247",0,"N","Y"
"AZM12248",0,"N","Y"
"AZM12250",0,"N","Y"
"AZM12251",0,"N","Y"
"AZM12267",0,"N","Y"
"AZM12269",0,"N","Y"
"AZM12270",0,"N","Y"
"AZM12272",0,"N","Y"
"AZM12292",0,"N","Y"
"AZM12293",0,"N","Y"
"AZM12294",0,"N","Y"
"AZM12295",0,"N","Y"
"AZM15133",0,"N","Y"
"AZM15134",0,"N","Y"
"AZM15138",0,"N","Y"
"AZM16124",23,"S","Y"
"AZM16125",0,"N","Y"
"AZM16126",0,"N","Y"
"AZM16127",0,"N","Y"
"BCY15125",19,"S","Y"
"BCY23422",0,"N","Y"
"BCY23623",2,"S","Y"
"BCY24123",0,"S","Y"
"BCY33340",2945,"S","Y"
"BCY33901",16,"S","Y"
"BCY33902",16,"S","Y"
"BCY33903",24,"S","Y"
"BCY33904",0,"S","Y"
"BCY33906",10,"S","Y"
"BCY34012",96,"S","Y"
"BCY34018",5,"S","Y"
"BCY34022",14,"S","Y"
"BCY34202",0,"S","Y"
"BCY34205",61,"S","Y"
"BCY34208",21,"S","Y"
"BCY34601",0,"N","Y"
"BCY34805",159,"S","Y"
"BCY34825",131,"S","Y"
"BCY34880",0,"N","Y"
"BCY34905",26,"S","Y"
"BCY35504",10,"S","Y"
"BCY46244",41,"S","Y"
"BCY46322",129,"S","Y"
"BCY46344",5,"S","Y"
"BCY46422",2,"S","Y"
"BERJM21",0,"S","Y"
"BERJM25",0,"S","Y"
"BERJM32",0,"S","Y"
"BERJM85FN",0,"S","Y"
"BFEGC16",39,"S","Y"
"BFELP4",104,"S","Y"
"BRN112022029",0,"S","Y"
"BRN112022030",0,"N","Y"
"BRN112022031",0,"N","Y"
"BRN112022032",0,"N","Y"
"BRN112025030",0,"N","Y"
"BRN112025031",0,"N","Y"
"BRN112026009",0,"N","Y"
"ATIENF0013",0,"N","Y"
"ATIENF0113",0,"N","Y"
"ATIMOI0300",4,"S","Y"
"ATIMRW4100",75,"S","Y"
"ATISBS4300",23,"S","Y"
"ATISBS4600",0,"S","Y"
"ATISKS0300",0,"S","Y"
"ATISKS0500",12,"S","Y"
"ATISKS3050",10,"S","Y"
"ATISMC1100",0,"S","Y"
"ATISPG0100",13,"S","Y"
"AZM11408",0,"N","Y"
"AZM11412",0,"N","Y"
"AZM12206",0,"S","Y"
"AZM12210",0,"N","Y"
"AZM12215",6,"S","Y"
"AZM12218",0,"N","Y"
"AZM12225",13,"S","Y"
"AZM12227",28,"S","Y"
"AZM12234",65,"S","Y"
"AZM12236",0,"N","Y"
"AZM12241",0,"N","Y"
"AZM12244",0,"N","Y"
"AZM12252",3,"S","Y"
"AZM12254",0,"S","Y"
"AZM12263",0,"N","Y"
"AZM12265",0,"N","Y"
"AZM12277",0,"N","Y"
"AZM12287",0,"N","Y"
"AZM12289",0,"N","Y"
"AZM12298",0,"N","Y"
"AZM15117",8,"S","Y"
"AZM15129",0,"N","Y"
"AZM15151",0,"N","Y"
"AZM15153",0,"S","Y"
"AZM16120",20,"S","Y"
"AZM16123",0,"N","Y"
"AZM16128",0,"N","Y"
"AZM16136",0,"N","Y"
"AZM16146",0,"N","Y"
"BCY13201",33,"S","Y"
"BCY14130",21,"S","Y"
"BCY33344",6613,"S","Y"
"BCY33928",217,"S","Y"
"BCY34077",0,"N","Y"
"BCY34081",0,"N","Y"
"BCY34186",0,"N","Y"
"BCY34210",21,"S","Y"
"BCY34550",374,"S","Y"
"BCY34605",23,"S","Y"
"BCY34750",0,"N","Y"
"BCY35825",2,"S","Y"
"BCY40015",41,"S","Y"
"BCY46101",10,"S","Y"
"BCY47017",25,"S","Y"
"BCY47022",23,"S","Y"
"BER13859791",0,"S","Y"
"BERJM80396HC",0,"S","Y"
"BERJM85F",0,"S","Y"
"BERJM92F",0,"S","Y"
"BERJM96",0,"S","Y"
